Municipios;Sexo;Periodo;Total
36020 Agolada;Total;2019;2.344
36020 Agolada;Total;2018;2.370
36020 Agolada;Total;2017;2.431
36020 Agolada;Total;2016;2.507
36020 Agolada;Total;2015;2.585
36020 Agolada;Total;2014;2.651
36020 Agolada;Total;2013;2.745
36020 Agolada;Total;2012;2.803
36020 Agolada;Total;2011;2.926
36020 Agolada;Total;2010;2.995
36020 Agolada;Total;2009;3.094
36020 Agolada;Total;2008;3.176
36020 Agolada;Total;2007;3.216
36020 Agolada;Total;2006;3.286
36020 Agolada;Total;2005;3.414
36020 Agolada;Total;2004;3.678
36020 Agolada;Total;2003;3.875
36020 Agolada;Total;2002;4.117
36020 Agolada;Total;2001;4.292
36020 Agolada;Total;2000;4.391
36020 Agolada;Total;1999;4.457
36020 Agolada;Total;1998;4.457
36020 Agolada;Total;1997;""
36020 Agolada;Total;1996;4.915
36020 Agolada;Hombres;2020;1.153
36020 Agolada;Hombres;2019;1.175
36020 Agolada;Hombres;2018;1.182
36020 Agolada;Hombres;2017;1.215
36020 Agolada;Hombres;2016;1.243
36020 Agolada;Hombres;2015;1.278
36020 Agolada;Hombres;2014;1.312
36020 Agolada;Hombres;2013;1.355
36020 Agolada;Hombres;2012;1.380
36020 Agolada;Hombres;2011;1.440
36020 Agolada;Hombres;2010;1.470
36020 Agolada;Hombres;2009;1.513
36020 Agolada;Hombres;2008;1.560
36020 Agolada;Hombres;2007;1.573
36020 Agolada;Hombres;2006;1.602
36020 Agolada;Hombres;2005;1.672
36020 Agolada;Hombres;2004;1.807
36020 Agolada;Hombres;2003;1.902
36020 Agolada;Hombres;2002;2.034
36020 Agolada;Hombres;2001;2.105
36020 Agolada;Hombres;2000;2.158
36020 Agolada;Hombres;1999;2.176
36020 Agolada;Hombres;1998;2.176
36020 Agolada;Hombres;1997;""
36020 Agolada;Hombres;1996;2.392
36020 Agolada;Mujeres;2020;1.151
36020 Agolada;Mujeres;2019;1.169
36020 Agolada;Mujeres;2018;1.188
36020 Agolada;Mujeres;2017;1.216
36020 Agolada;Mujeres;2016;1.264
36020 Agolada;Mujeres;2015;1.307
36020 Agolada;Mujeres;2014;1.339
36020 Agolada;Mujeres;2013;1.390
36020 Agolada;Mujeres;2012;1.423
36020 Agolada;Mujeres;2011;1.486
36020 Agolada;Mujeres;2010;1.525
36020 Agolada;Mujeres;2009;1.581
36020 Agolada;Mujeres;2008;1.616
36020 Agolada;Mujeres;2007;1.643
36020 Agolada;Mujeres;2006;1.684
36020 Agolada;Mujeres;2005;1.742
36020 Agolada;Mujeres;2004;1.871
36020 Agolada;Mujeres;2003;1.973
36020 Agolada;Mujeres;2002;2.083
36020 Agolada;Mujeres;2001;2.187
36020 Agolada;Mujeres;2000;2.233
36020 Agolada;Mujeres;1999;2.281
36020 Agolada;Mujeres;1998;2.281
36020 Agolada;Mujeres;1997;""
36020 Agolada;Mujeres;1996;2.523
36001 Arbo;Total;2020;2.576
36001 Arbo;Total;2019;2.580
36001 Arbo;Total;2018;2.637
36001 Arbo;Total;2017;2.711
36001 Arbo;Total;2016;2.770
36001 Arbo;Total;2015;2.846
36001 Arbo;Total;2014;2.904
36001 Arbo;Total;2013;2.967
36001 Arbo;Total;2012;3.191
36001 Arbo;Total;2011;3.741
36001 Arbo;Total;2010;3.801
36001 Arbo;Total;2009;3.833
36001 Arbo;Total;2008;3.877
36001 Arbo;Total;2007;3.887
36001 Arbo;Total;2006;3.955
36001 Arbo;Total;2005;3.973
36001 Arbo;Total;2004;4.018
36001 Arbo;Total;2003;4.121
36001 Arbo;Total;2002;4.173
36001 Arbo;Total;2001;4.255
36001 Arbo;Total;2000;4.318
36001 Arbo;Total;1999;4.459
36001 Arbo;Total;1998;4.459
36001 Arbo;Total;1997;""
36001 Arbo;Total;1996;5.019
36001 Arbo;Hombres;2020;1.335
36001 Arbo;Hombres;2019;1.328
36001 Arbo;Hombres;2018;1.348
36001 Arbo;Hombres;2017;1.384
36001 Arbo;Hombres;2016;1.412
36001 Arbo;Hombres;2015;1.440
36001 Arbo;Hombres;2014;1.471
36001 Arbo;Hombres;2013;1.488
36001 Arbo;Hombres;2012;1.585
36001 Arbo;Hombres;2011;1.863
36001 Arbo;Hombres;2010;1.903
36001 Arbo;Hombres;2009;1.894
36001 Arbo;Hombres;2008;1.915
36001 Arbo;Hombres;2007;1.933
36001 Arbo;Hombres;2006;1.979
36001 Arbo;Hombres;2005;1.974
36001 Arbo;Hombres;2004;1.996
36001 Arbo;Hombres;2003;2.023
36001 Arbo;Hombres;2002;2.052
36001 Arbo;Hombres;2001;2.082
36001 Arbo;Hombres;2000;2.105
36001 Arbo;Hombres;1999;2.178
36001 Arbo;Hombres;1998;2.178
36001 Arbo;Hombres;1997;""
36001 Arbo;Hombres;1996;2.474
36001 Arbo;Mujeres;2020;1.241
36001 Arbo;Mujeres;2019;1.252
36001 Arbo;Mujeres;2018;1.289
36001 Arbo;Mujeres;2017;1.327
36001 Arbo;Mujeres;2016;1.358
36001 Arbo;Mujeres;2015;1.406
36001 Arbo;Mujeres;2014;1.433
36001 Arbo;Mujeres;2013;1.479
36001 Arbo;Mujeres;2012;1.606
36001 Arbo;Mujeres;2011;1.878
36001 Arbo;Mujeres;2010;1.898
36001 Arbo;Mujeres;2009;1.939
36001 Arbo;Mujeres;2008;1.962
36001 Arbo;Mujeres;2007;1.954
36001 Arbo;Mujeres;2006;1.976
36001 Arbo;Mujeres;2005;1.999
36001 Arbo;Mujeres;2004;2.022
36001 Arbo;Mujeres;2003;2.098
36001 Arbo;Mujeres;2002;2.121
36001 Arbo;Mujeres;2001;2.173
36001 Arbo;Mujeres;2000;2.213
36001 Arbo;Mujeres;1999;2.281
36001 Arbo;Mujeres;1998;2.281
36001 Arbo;Mujeres;1997;""
36001 Arbo;Mujeres;1996;2.545
36003 Baiona;Total;2020;12.129
36003 Baiona;Total;2019;12.122
36003 Baiona;Total;2018;12.134
36003 Baiona;Total;2017;12.169
36003 Baiona;Total;2016;12.119
36003 Baiona;Total;2015;12.072
36003 Baiona;Total;2014;12.233
36003 Baiona;Total;2013;12.035
36003 Baiona;Total;2012;12.063
36003 Baiona;Total;2011;12.258
36003 Baiona;Total;2010;12.154
36003 Baiona;Total;2009;12.091
36003 Baiona;Total;2008;11.976
36003 Baiona;Total;2007;11.839
36003 Baiona;Total;2006;11.653
36003 Baiona;Total;2005;11.521
36003 Baiona;Total;2004;11.337
36003 Baiona;Total;2003;11.153
36003 Baiona;Total;2002;11.014
36003 Baiona;Total;2001;10.873
36003 Baiona;Total;2000;10.741
36003 Baiona;Total;1999;10.659
36003 Baiona;Total;1998;10.443
36003 Baiona;Total;1997;""
36003 Baiona;Total;1996;10.499
36003 Baiona;Hombres;2020;5.977
36003 Baiona;Hombres;2019;5.974
36003 Baiona;Hombres;2018;5.984
36003 Baiona;Hombres;2017;6.018
36003 Baiona;Hombres;2016;6.003
36003 Baiona;Hombres;2015;5.982
36003 Baiona;Hombres;2014;6.076
36003 Baiona;Hombres;2013;5.964
36003 Baiona;Hombres;2012;6.010
36003 Baiona;Hombres;2011;6.102
36003 Baiona;Hombres;2010;6.037
36003 Baiona;Hombres;2009;6.000
36003 Baiona;Hombres;2008;5.946
36003 Baiona;Hombres;2007;5.868
36003 Baiona;Hombres;2006;5.751
36003 Baiona;Hombres;2005;5.703
36003 Baiona;Hombres;2004;5.597
36003 Baiona;Hombres;2003;5.501
36003 Baiona;Hombres;2002;5.410
36003 Baiona;Hombres;2001;5.328
36003 Baiona;Hombres;2000;5.271
36003 Baiona;Hombres;1999;5.214
36003 Baiona;Hombres;1998;5.107
36003 Baiona;Hombres;1997;""
36003 Baiona;Hombres;1996;5.129
36003 Baiona;Mujeres;2020;6.152
36003 Baiona;Mujeres;2019;6.148
36003 Baiona;Mujeres;2018;6.150
36003 Baiona;Mujeres;2017;6.151
36003 Baiona;Mujeres;2016;6.116
36003 Baiona;Mujeres;2015;6.090
36003 Baiona;Mujeres;2014;6.157
36003 Baiona;Mujeres;2013;6.071
36003 Baiona;Mujeres;2012;6.053
36003 Baiona;Mujeres;2011;6.156
36003 Baiona;Mujeres;2010;6.117
36003 Baiona;Mujeres;2009;6.091
36003 Baiona;Mujeres;2008;6.030
36003 Baiona;Mujeres;2007;5.971
36003 Baiona;Mujeres;2006;5.902
36003 Baiona;Mujeres;2005;5.818
36003 Baiona;Mujeres;2004;5.740
36003 Baiona;Mujeres;2003;5.652
36003 Baiona;Mujeres;2002;5.604
36003 Baiona;Mujeres;2001;5.545
36003 Baiona;Mujeres;2000;5.470
36003 Baiona;Mujeres;1999;5.445
36003 Baiona;Mujeres;1998;5.336
36003 Baiona;Mujeres;1997;""
36003 Baiona;Mujeres;1996;5.370
36002 Barro;Total;2020;3.623
36002 Barro;Total;2019;3.680
36002 Barro;Total;2018;3.716
36002 Barro;Total;2017;3.699
36002 Barro;Total;2016;3.746
36002 Barro;Total;2015;3.726
36002 Barro;Total;2014;3.705
36002 Barro;Total;2013;3.712
36002 Barro;Total;2012;3.724
36002 Barro;Total;2011;3.668
36002 Barro;Total;2010;3.642
36002 Barro;Total;2009;3.583
36002 Barro;Total;2008;3.498
36002 Barro;Total;2007;3.426
36002 Barro;Total;2006;3.402
36002 Barro;Total;2005;3.408
36002 Barro;Total;2004;3.380
36002 Barro;Total;2003;3.418
36002 Barro;Total;2002;3.444
36002 Barro;Total;2001;3.470
36002 Barro;Total;2000;3.538
36002 Barro;Total;1999;3.533
36002 Barro;Total;1998;3.540
36002 Barro;Total;1997;""
36002 Barro;Total;1996;3.570
36002 Barro;Hombres;2020;1.784
36002 Barro;Hombres;2019;1.824
36002 Barro;Hombres;2018;1.846
36002 Barro;Hombres;2017;1.842
36002 Barro;Hombres;2016;1.862
36002 Barro;Hombres;2015;1.844
36002 Barro;Hombres;2014;1.832
36002 Barro;Hombres;2013;1.836
36002 Barro;Hombres;2012;1.842
36002 Barro;Hombres;2011;1.801
36002 Barro;Hombres;2010;1.801
36002 Barro;Hombres;2009;1.772
36002 Barro;Hombres;2008;1.722
36002 Barro;Hombres;2007;1.682
36002 Barro;Hombres;2006;1.659
36002 Barro;Hombres;2005;1.656
36002 Barro;Hombres;2004;1.629
36002 Barro;Hombres;2003;1.632
36002 Barro;Hombres;2002;1.650
36002 Barro;Hombres;2001;1.647
36002 Barro;Hombres;2000;1.673
36002 Barro;Hombres;1999;1.686
36002 Barro;Hombres;1998;1.694
36002 Barro;Hombres;1997;""
36002 Barro;Hombres;1996;1.710
36002 Barro;Mujeres;2020;1.839
36002 Barro;Mujeres;2019;1.856
36002 Barro;Mujeres;2018;1.870
36002 Barro;Mujeres;2017;1.857
36002 Barro;Mujeres;2016;1.884
36002 Barro;Mujeres;2015;1.882
36002 Barro;Mujeres;2014;1.873
36002 Barro;Mujeres;2013;1.876
36002 Barro;Mujeres;2012;1.882
36002 Barro;Mujeres;2011;1.867
36002 Barro;Mujeres;2010;1.841
36002 Barro;Mujeres;2009;1.811
36002 Barro;Mujeres;2008;1.776
36002 Barro;Mujeres;2007;1.744
36002 Barro;Mujeres;2006;1.743
36002 Barro;Mujeres;2005;1.752
36002 Barro;Mujeres;2004;1.751
36002 Barro;Mujeres;2003;1.786
36002 Barro;Mujeres;2002;1.794
36002 Barro;Mujeres;2001;1.823
36002 Barro;Mujeres;2000;1.865
36002 Barro;Mujeres;1999;1.847
36002 Barro;Mujeres;1998;1.846
36002 Barro;Mujeres;1997;""
36002 Barro;Mujeres;1996;1.860
36004 Bueu;Total;2020;11.950
36004 Bueu;Total;2019;12.009
36004 Bueu;Total;2018;12.148
36004 Bueu;Total;2017;12.145
36004 Bueu;Total;2016;12.189
36004 Bueu;Total;2015;12.251
36004 Bueu;Total;2014;12.352
36004 Bueu;Total;2013;12.375
36004 Bueu;Total;2012;12.373
36004 Bueu;Total;2011;12.348
36004 Bueu;Total;2010;12.368
36004 Bueu;Total;2009;12.331
36004 Bueu;Total;2008;12.375
36004 Bueu;Total;2007;12.440
36004 Bueu;Total;2006;12.537
36004 Bueu;Total;2005;12.528
36004 Bueu;Total;2004;12.483
36004 Bueu;Total;2003;12.342
36004 Bueu;Total;2002;12.469
36004 Bueu;Total;2001;12.548
36004 Bueu;Total;2000;12.526
36004 Bueu;Total;1999;12.517
36004 Bueu;Total;1998;12.484
36004 Bueu;Total;1997;""
36004 Bueu;Total;1996;12.599
36004 Bueu;Hombres;2020;5.878
36004 Bueu;Hombres;2019;5.924
36004 Bueu;Hombres;2018;5.983
36004 Bueu;Hombres;2017;5.988
36004 Bueu;Hombres;2016;5.983
36004 Bueu;Hombres;2015;6.031
36004 Bueu;Hombres;2014;6.072
36004 Bueu;Hombres;2013;6.094
36004 Bueu;Hombres;2012;6.127
36004 Bueu;Hombres;2011;6.087
36004 Bueu;Hombres;2010;6.094
36004 Bueu;Hombres;2009;6.066
36004 Bueu;Hombres;2008;6.090
36004 Bueu;Hombres;2007;6.127
36004 Bueu;Hombres;2006;6.165
36004 Bueu;Hombres;2005;6.158
36004 Bueu;Hombres;2004;6.136
36004 Bueu;Hombres;2003;6.070
36004 Bueu;Hombres;2002;6.121
36004 Bueu;Hombres;2001;6.159
36004 Bueu;Hombres;2000;6.109
36004 Bueu;Hombres;1999;6.129
36004 Bueu;Hombres;1998;6.111
36004 Bueu;Hombres;1997;""
36004 Bueu;Hombres;1996;6.192
36004 Bueu;Mujeres;2020;6.072
36004 Bueu;Mujeres;2019;6.085
36004 Bueu;Mujeres;2018;6.165
36004 Bueu;Mujeres;2017;6.157
36004 Bueu;Mujeres;2016;6.206
36004 Bueu;Mujeres;2015;6.220
36004 Bueu;Mujeres;2014;6.280
36004 Bueu;Mujeres;2013;6.281
36004 Bueu;Mujeres;2012;6.246
36004 Bueu;Mujeres;2011;6.261
36004 Bueu;Mujeres;2010;6.274
36004 Bueu;Mujeres;2009;6.265
36004 Bueu;Mujeres;2008;6.285
36004 Bueu;Mujeres;2007;6.313
36004 Bueu;Mujeres;2006;6.372
36004 Bueu;Mujeres;2005;6.370
36004 Bueu;Mujeres;2004;6.347
36004 Bueu;Mujeres;2003;6.272
36004 Bueu;Mujeres;2002;6.348
36004 Bueu;Mujeres;2001;6.389
36004 Bueu;Mujeres;2000;6.417
36004 Bueu;Mujeres;1999;6.388
36004 Bueu;Mujeres;1998;6.373
36004 Bueu;Mujeres;1997;""
36004 Bueu;Mujeres;1996;6.407
36005 Caldas de Reis;Total;2020;9.775
36005 Caldas de Reis;Total;2019;9.785
36005 Caldas de Reis;Total;2018;9.860
36005 Caldas de Reis;Total;2017;9.825
36005 Caldas de Reis;Total;2016;9.830
36005 Caldas de Reis;Total;2015;9.834
36005 Caldas de Reis;Total;2014;9.895
36005 Caldas de Reis;Total;2013;10.019
36005 Caldas de Reis;Total;2012;10.008
36005 Caldas de Reis;Total;2011;10.060
36005 Caldas de Reis;Total;2010;10.045
36005 Caldas de Reis;Total;2009;10.036
36005 Caldas de Reis;Total;2008;9.975
36005 Caldas de Reis;Total;2007;9.796
36005 Caldas de Reis;Total;2006;9.730
36005 Caldas de Reis;Total;2005;9.673
36005 Caldas de Reis;Total;2004;9.522
36005 Caldas de Reis;Total;2003;9.532
36005 Caldas de Reis;Total;2002;9.444
36005 Caldas de Reis;Total;2001;9.453
36005 Caldas de Reis;Total;2000;9.441
36005 Caldas de Reis;Total;1999;9.405
36005 Caldas de Reis;Total;1998;9.369
36005 Caldas de Reis;Total;1997;""
36005 Caldas de Reis;Total;1996;9.307
36005 Caldas de Reis;Hombres;2020;4.699
36005 Caldas de Reis;Hombres;2019;4.706
36005 Caldas de Reis;Hombres;2018;4.748
36005 Caldas de Reis;Hombres;2017;4.750
36005 Caldas de Reis;Hombres;2016;4.751
36005 Caldas de Reis;Hombres;2015;4.742
36005 Caldas de Reis;Hombres;2014;4.774
36005 Caldas de Reis;Hombres;2013;4.846
36005 Caldas de Reis;Hombres;2012;4.857
36005 Caldas de Reis;Hombres;2011;4.902
36005 Caldas de Reis;Hombres;2010;4.892
36005 Caldas de Reis;Hombres;2009;4.887
36005 Caldas de Reis;Hombres;2008;4.848
36005 Caldas de Reis;Hombres;2007;4.728
36005 Caldas de Reis;Hombres;2006;4.678
36005 Caldas de Reis;Hombres;2005;4.674
36005 Caldas de Reis;Hombres;2004;4.591
36005 Caldas de Reis;Hombres;2003;4.583
36005 Caldas de Reis;Hombres;2002;4.537
36005 Caldas de Reis;Hombres;2001;4.539
36005 Caldas de Reis;Hombres;2000;4.540
36005 Caldas de Reis;Hombres;1999;4.510
36005 Caldas de Reis;Hombres;1998;4.501
36005 Caldas de Reis;Hombres;1997;""
36005 Caldas de Reis;Hombres;1996;4.479
36005 Caldas de Reis;Mujeres;2020;5.076
36005 Caldas de Reis;Mujeres;2019;5.079
36005 Caldas de Reis;Mujeres;2018;5.112
36005 Caldas de Reis;Mujeres;2017;5.075
36005 Caldas de Reis;Mujeres;2016;5.079
36005 Caldas de Reis;Mujeres;2015;5.092
36005 Caldas de Reis;Mujeres;2014;5.121
36005 Caldas de Reis;Mujeres;2013;5.173
36005 Caldas de Reis;Mujeres;2012;5.151
36005 Caldas de Reis;Mujeres;2011;5.158
36005 Caldas de Reis;Mujeres;2010;5.153
36005 Caldas de Reis;Mujeres;2009;5.149
36005 Caldas de Reis;Mujeres;2008;5.127
36005 Caldas de Reis;Mujeres;2007;5.068
36005 Caldas de Reis;Mujeres;2006;5.052
36005 Caldas de Reis;Mujeres;2005;4.999
36005 Caldas de Reis;Mujeres;2004;4.931
36005 Caldas de Reis;Mujeres;2003;4.949
36005 Caldas de Reis;Mujeres;2002;4.907
36005 Caldas de Reis;Mujeres;2001;4.914
36005 Caldas de Reis;Mujeres;2000;4.901
36005 Caldas de Reis;Mujeres;1999;4.895
36005 Caldas de Reis;Mujeres;1998;4.868
36005 Caldas de Reis;Mujeres;1997;""
36005 Caldas de Reis;Mujeres;1996;4.828
36006 Cambados;Total;2020;13.721
36006 Cambados;Total;2019;13.744
36006 Cambados;Total;2018;13.814
36006 Cambados;Total;2017;13.900
36006 Cambados;Total;2016;13.977
36006 Cambados;Total;2015;13.895
36006 Cambados;Total;2014;13.399
36006 Cambados;Total;2013;13.544
36006 Cambados;Total;2012;13.898
36006 Cambados;Total;2011;13.946
36006 Cambados;Total;2010;13.872
36006 Cambados;Total;2009;13.708
36006 Cambados;Total;2008;13.620
36006 Cambados;Total;2007;13.591
36006 Cambados;Total;2006;13.562
36006 Cambados;Total;2005;13.581
36006 Cambados;Total;2004;13.564
36006 Cambados;Total;2003;13.524
36006 Cambados;Total;2002;13.438
36006 Cambados;Total;2001;13.328
36006 Cambados;Total;2000;13.240
36006 Cambados;Total;1999;13.067
36006 Cambados;Total;1998;12.918
36006 Cambados;Total;1997;""
36006 Cambados;Total;1996;12.936
36006 Cambados;Hombres;2020;6.630
36006 Cambados;Hombres;2019;6.614
36006 Cambados;Hombres;2018;6.673
36006 Cambados;Hombres;2017;6.711
36006 Cambados;Hombres;2016;6.769
36006 Cambados;Hombres;2015;6.744
36006 Cambados;Hombres;2014;6.506
36006 Cambados;Hombres;2013;6.556
36006 Cambados;Hombres;2012;6.734
36006 Cambados;Hombres;2011;6.777
36006 Cambados;Hombres;2010;6.740
36006 Cambados;Hombres;2009;6.693
36006 Cambados;Hombres;2008;6.667
36006 Cambados;Hombres;2007;6.617
36006 Cambados;Hombres;2006;6.603
36006 Cambados;Hombres;2005;6.585
36006 Cambados;Hombres;2004;6.582
36006 Cambados;Hombres;2003;6.557
36006 Cambados;Hombres;2002;6.529
36006 Cambados;Hombres;2001;6.485
36006 Cambados;Hombres;2000;6.427
36006 Cambados;Hombres;1999;6.342
36006 Cambados;Hombres;1998;6.269
36006 Cambados;Hombres;1997;""
36006 Cambados;Hombres;1996;6.298
36006 Cambados;Mujeres;2020;7.091
36006 Cambados;Mujeres;2019;7.130
36006 Cambados;Mujeres;2018;7.141
36006 Cambados;Mujeres;2017;7.189
36006 Cambados;Mujeres;2016;7.208
36006 Cambados;Mujeres;2015;7.151
36006 Cambados;Mujeres;2014;6.893
36006 Cambados;Mujeres;2013;6.988
36006 Cambados;Mujeres;2012;7.164
36006 Cambados;Mujeres;2011;7.169
36006 Cambados;Mujeres;2010;7.132
36006 Cambados;Mujeres;2009;7.015
36006 Cambados;Mujeres;2008;6.953
36006 Cambados;Mujeres;2007;6.974
36006 Cambados;Mujeres;2006;6.959
36006 Cambados;Mujeres;2005;6.996
36006 Cambados;Mujeres;2004;6.982
36006 Cambados;Mujeres;2003;6.967
36006 Cambados;Mujeres;2002;6.909
36006 Cambados;Mujeres;2001;6.843
36006 Cambados;Mujeres;2000;6.813
36006 Cambados;Mujeres;1999;6.725
36006 Cambados;Mujeres;1998;6.649
36006 Cambados;Mujeres;1997;""
36006 Cambados;Mujeres;1996;6.638
36007 Campo Lameiro;Total;2020;1.778
36007 Campo Lameiro;Total;2019;1.817
36007 Campo Lameiro;Total;2018;1.806
36007 Campo Lameiro;Total;2017;1.867
36007 Campo Lameiro;Total;2016;1.894
36007 Campo Lameiro;Total;2015;1.931
36007 Campo Lameiro;Total;2014;1.962
36007 Campo Lameiro;Total;2013;1.982
36007 Campo Lameiro;Total;2012;2.009
36007 Campo Lameiro;Total;2011;2.036
36007 Campo Lameiro;Total;2010;2.046
36007 Campo Lameiro;Total;2009;2.084
36007 Campo Lameiro;Total;2008;2.113
36007 Campo Lameiro;Total;2007;2.119
36007 Campo Lameiro;Total;2006;2.132
36007 Campo Lameiro;Total;2005;2.166
36007 Campo Lameiro;Total;2004;2.178
36007 Campo Lameiro;Total;2003;2.213
36007 Campo Lameiro;Total;2002;2.256
36007 Campo Lameiro;Total;2001;2.290
36007 Campo Lameiro;Total;2000;2.307
36007 Campo Lameiro;Total;1999;2.374
36007 Campo Lameiro;Total;1998;2.384
36007 Campo Lameiro;Total;1997;""
36007 Campo Lameiro;Total;1996;2.461
36007 Campo Lameiro;Hombres;2020;841
36007 Campo Lameiro;Hombres;2019;858
36007 Campo Lameiro;Hombres;2018;848
36007 Campo Lameiro;Hombres;2017;882
36007 Campo Lameiro;Hombres;2016;902
36007 Campo Lameiro;Hombres;2015;922
36007 Campo Lameiro;Hombres;2014;945
36007 Campo Lameiro;Hombres;2013;955
36007 Campo Lameiro;Hombres;2012;966
36007 Campo Lameiro;Hombres;2011;977
36007 Campo Lameiro;Hombres;2010;979
36007 Campo Lameiro;Hombres;2009;979
36007 Campo Lameiro;Hombres;2008;1.008
36007 Campo Lameiro;Hombres;2007;1.007
36007 Campo Lameiro;Hombres;2006;1.018
36007 Campo Lameiro;Hombres;2005;1.033
36007 Campo Lameiro;Hombres;2004;1.042
36007 Campo Lameiro;Hombres;2003;1.065
36007 Campo Lameiro;Hombres;2002;1.083
36007 Campo Lameiro;Hombres;2001;1.090
36007 Campo Lameiro;Hombres;2000;1.099
36007 Campo Lameiro;Hombres;1999;1.115
36007 Campo Lameiro;Hombres;1998;1.131
36007 Campo Lameiro;Hombres;1997;""
36007 Campo Lameiro;Hombres;1996;1.175
36007 Campo Lameiro;Mujeres;2020;937
36007 Campo Lameiro;Mujeres;2019;959
36007 Campo Lameiro;Mujeres;2018;958
36007 Campo Lameiro;Mujeres;2017;985
36007 Campo Lameiro;Mujeres;2016;992
36007 Campo Lameiro;Mujeres;2015;1.009
36007 Campo Lameiro;Mujeres;2014;1.017
36007 Campo Lameiro;Mujeres;2013;1.027
36007 Campo Lameiro;Mujeres;2012;1.043
36007 Campo Lameiro;Mujeres;2011;1.059
36007 Campo Lameiro;Mujeres;2010;1.067
36007 Campo Lameiro;Mujeres;2009;1.105
36007 Campo Lameiro;Mujeres;2008;1.105
36007 Campo Lameiro;Mujeres;2007;1.112
36007 Campo Lameiro;Mujeres;2006;1.114
36007 Campo Lameiro;Mujeres;2005;1.133
36007 Campo Lameiro;Mujeres;2004;1.136
36007 Campo Lameiro;Mujeres;2003;1.148
36007 Campo Lameiro;Mujeres;2002;1.173
36007 Campo Lameiro;Mujeres;2001;1.200
36007 Campo Lameiro;Mujeres;2000;1.208
36007 Campo Lameiro;Mujeres;1999;1.259
36007 Campo Lameiro;Mujeres;1998;1.253
36007 Campo Lameiro;Mujeres;1997;""
36007 Campo Lameiro;Mujeres;1996;1.286
36008 Cangas;Total;2020;26.582
36008 Cangas;Total;2019;26.542
36008 Cangas;Total;2018;26.487
36008 Cangas;Total;2017;26.490
36008 Cangas;Total;2016;26.584
36008 Cangas;Total;2015;26.520
36008 Cangas;Total;2014;26.567
36008 Cangas;Total;2013;26.173
36008 Cangas;Total;2012;26.087
