Municipios;Sexo;Periodo;Total
36034 Neves, As;Mujeres;2020;1965
36035 Nigrán;Total;2020;17745
36035 Nigrán;Hombres;2020;8710
36035 Nigrán;Mujeres;2020;9035
36036 Oia;Total;2020;3049
36036 Oia;Hombres;2020;1510
36036 Oia;Mujeres;2020;1539
36037 Pazos de Borbén;Total;2020;2965
36037 Pazos de Borbén;Hombres;2020;1455
36037 Pazos de Borbén;Mujeres;2020;1510
36041 Poio;Total;2020;17073
36041 Poio;Hombres;2020;8462
36041 Poio;Mujeres;2020;8611
36043 Ponte Caldelas;Total;2020;5533
36043 Ponte Caldelas;Hombres;2020;2670
36043 Ponte Caldelas;Mujeres;2020;2863
36042 Ponteareas;Total;2020;22940
36042 Ponteareas;Hombres;2020;11121
36042 Ponteareas;Mujeres;2020;11819
36044 Pontecesures;Total;2020;3053
36044 Pontecesures;Hombres;2020;1504
36044 Pontecesures;Mujeres;2020;1549
36038 Pontevedra;Total;2020;83260
36038 Pontevedra;Hombres;2020;39344
36038 Pontevedra;Mujeres;2020;43916
36039 Porriño, O;Total;2020;20100
36039 Porriño, O;Hombres;2020;9910
36039 Porriño, O;Mujeres;2020;10190
36040 Portas;Total;2020;2906
36040 Portas;Hombres;2020;1410
36040 Portas;Mujeres;2020;1496
36045 Redondela;Total;2020;29241
36045 Redondela;Hombres;2020;14202
36045 Redondela;Mujeres;2020;15039
36046 Ribadumia;Total;2020;5105
36046 Ribadumia;Hombres;2020;2484
36046 Ribadumia;Mujeres;2020;2621
36047 Rodeiro;Total;2020;2393
36047 Rodeiro;Hombres;2020;1214
36047 Rodeiro;Mujeres;2020;1179
36048 Rosal, O;Total;2020;6289
36048 Rosal, O;Hombres;2020;3092
36048 Rosal, O;Mujeres;2020;3197
36049 Salceda de Caselas;Total;2020;9173
36049 Salceda de Caselas;Hombres;2020;4580
36049 Salceda de Caselas;Mujeres;2020;4593
36050 Salvaterra de Miño;Total;2020;9990
36050 Salvaterra de Miño;Hombres;2020;4999
36050 Salvaterra de Miño;Mujeres;2020;4991
36051 Sanxenxo;Total;2020;17414
36051 Sanxenxo;Hombres;2020;8608
36051 Sanxenxo;Mujeres;2020;8806
36052 Silleda;Total;2020;8861
36052 Silleda;Hombres;2020;4296
36052 Silleda;Mujeres;2020;4565
36053 Soutomaior;Total;2020;7426
36053 Soutomaior;Hombres;2020;3702
36053 Soutomaior;Mujeres;2020;3724
36054 Tomiño;Total;2020;13566
36054 Tomiño;Hombres;2020;6827
36054 Tomiño;Mujeres;2020;6739
36055 Tui;Total;2020;17323
36055 Tui;Hombres;2020;8409
36055 Tui;Mujeres;2020;8914
36056 Valga;Total;2020;5824
36056 Valga;Hombres;2020;2866
36056 Valga;Mujeres;2020;2958
36057 Vigo;Total;2020;296692
36057 Vigo;Hombres;2020;140164
36057 Vigo;Mujeres;2020;156528
36059 Vila de Cruces;Total;2020;5208
36059 Vila de Cruces;Hombres;2020;2578
36059 Vila de Cruces;Mujeres;2020;2630
36058 Vilaboa;Total;2020;5919
36058 Vilaboa;Hombres;2020;2892
36058 Vilaboa;Mujeres;2020;3027
36060 Vilagarcía de Arousa;Total;2020;37565
36060 Vilagarcía de Arousa;Hombres;2020;17989
36060 Vilagarcía de Arousa;Mujeres;2020;19576
36061 Vilanova de Arousa;Total;2020;10239
36061 Vilanova de Arousa;Hombres;2020;4960
36061 Vilanova de Arousa;Mujeres;2020;5279
